LenderID,LenderName,LenderType,LenderWebsite,ProductID,ProductName,ProductDescription,LoanPurposeEligibility,TargetBorrowerSegment,InterestRateType,MinInterestRate,MaxInterestRate,BenchmarkRate,SpreadMargin,InterestRateConcessions,InterestResetFrequency,MinLoanAmount,MaxLoanAmount,MinLoanTenureYears,MaxLoanTenureYears,ProcessingFeeType,ProcessingFeeValue,ProcessingFeeMinAmount,ProcessingFeeMaxAmount,PrepaymentCharges,PartialPrepaymentConditions,LegalFees,ValuationFees,DocumentationCharges,LatePaymentPenalty,ChequeBounceFee,MinAgeYears,MaxAgeAtOriginationYears,MaxAgeAtMaturityYears,MinNetMonthlyIncome,MinWorkExperienceYears,MinBusinessVintageYears,MinCreditScore,MaxDTI,MaxFOIR,AcceptableCoApplicants,MaxLTVRatioTier1,MaxLTVRatioTier2,MaxLTVRatioTier3,AcceptablePropertyTypes,MaxPropertyAgeYears,ApprovedLocations,InsuranceRequirements,MoratoriumPeriod,EMIHolidayOption,StepUpEMIOption,StepDownEMIOption,OverdraftFacility,BalanceTransferOption,TopUpLoanOption,PMAYEligibility,DigitalApplication,QuickSanctionTAT,USPs,IsActive,LastUpdatedDate
1,State Bank of India,Public Sector Bank,https://www.sbi.co.in,1,Classic Griha Loan,Affordable home financing solution from State Bank of India with quick processing and approval.,"Balance transfer, Top-up loan, Purchase of resale property, Self-construction, Home extension","Self-Employed Non-Professional, Salaried, Self-Employed Professional, Agriculturist, PIO",Hybrid,8.63,9.21,MCLR,1.84,"0.05% for women borrowers, 0.10% for government employees, 0.05% for existing customers",Monthly,300000,50000000,3,25,Percentage,0.33,10000,50000,Nil (as per RBI guidelines),"Allowed twice a year, minimum amount 10% of outstanding",3000,2500,1000,2% per month on overdue amount,1000,18,60,80,15000,2,3,700,60,50,"Spouse, Parents, Children, Siblings",85,80,72,"Apartment, Plot, Independent House",20,"Chennai, Thane, Bangalore, Ghaziabad, Noida, Ahmedabad, Gurgaon, Kochi, Pune, Chandigarh, Navi Mumbai, Kolkata, Faridabad",Both property insurance and loan protection plan mandatory,No,No,No,No,No,Yes,Yes,Yes,Yes,5 working days,Special rates for high credit score customers,True,2025-03-08
2,Bank of Baroda,Public Sector Bank,https://www.bankofbaroda.com,2,Privilege Dream Home Loan,A comprehensive home loan solution from Bank of Baroda designed to fulfill your dream of owning a home.,"Purchase of resale property, Home extension, Purchase of new property, Self-construction, Top-up loan, Balance transfer, Home renovation","Self-Employed Professional, Self-Employed Non-Professional, Government employee",Fixed,8.32,9.04,RLLR,1.5,"0.10% for government employees, 0.05% for existing customers",Half-yearly,300000,75000000,1,25,Percentage,0.89,5000,50000,2% of outstanding principal,"Minimum 3 months between prepayments, minimum amount 2 EMIs",2500,2500,2000,3% p.a. on overdue amount,500,23,65,80,20000,2,3,650,55,65,"Spouse, Parents, Children, Siblings",90,77,72,"Ready-to-move-in property, Independent House, Plot, Villa, Under-construction property",25,"Thane, Ahmedabad, Lucknow, Noida, Chennai, Faridabad, Pune, Navi Mumbai, Hyderabad, Bangalore, Kochi","Property insurance mandatory, loan protection plan optional",Yes - Up to 18 months for under-construction properties,Yes - Up to 6 months for specific customer segments,No,Yes,Yes - Up to 40% of loan amount,Yes,Yes,Yes,Yes,7 working days,None,True,2025-04-10
3,Punjab National Bank,Public Sector Bank,https://www.punjabnationalbank.com,3,Silver Home Loan,Customized home loan package from Punjab National Bank catering to diverse customer needs.,"Home extension, Purchase of new property, Home renovation, Balance transfer, Top-up loan, Plot purchase plus construction, Purchase of resale property","Salaried, Government employee",Floating,8.35,9.42,TBLR,0.3,"0.10% for government employees, 0.05% for existing customers",Half-yearly,500000,100000000,3,30,FixedAmount,5000,5000,5000,Nil (as per RBI guidelines),"Allowed after 6 months from disbursement, minimum amount 3 EMIs",5000,2500,1500,₹1000 flat fee plus 2% on overdue amount,1000,23,70,80,25000,3,2,725,55,65,"Spouse, Parents, Children, Siblings",90,80,72,"Under-construction property, Independent House, Row House, Villa",20,"Noida, Kolkata, Faridabad, Chennai, Pune, Mumbai, Hyderabad, Chandigarh, Lucknow, Ahmedabad",Both property insurance and loan protection plan mandatory,Yes - Up to 24 months for under-construction properties,Yes - Up to 6 months for specific customer segments,No,Yes,Yes - Up to 40% of loan amount,Yes,Yes,Yes,No,5 working days,"No foreclosure charges, Doorstep service",True,2025-05-19
4,Canara Bank,Public Sector Bank,https://www.canarabank.com,4,Classic Privilege Home Loan,Affordable home financing solution from Canara Bank with quick processing and approval.,"Purchase of new property, Top-up loan, Balance transfer, Purchase of resale property, Home renovation","Government employee, Self-Employed Non-Professional",Floating,8.31,9.71,Internal,1.17,None,Annually,500000,50000000,1,30,FixedAmount,20000,20000,20000,Nil (as per RBI guidelines),"Minimum 3 months between prepayments, minimum amount 2 EMIs",2500,2500,2000,2% per month on overdue amount,1000,18,60,75,30000,1,2,700,55,55,"Spouse, Parents, Children, Siblings",90,75,70,"Independent House, Villa, Ready-to-move-in property, Plot, Apartment, Under-construction property",25,"Lucknow, Coimbatore, Chennai, Kolkata, Jaipur, Bangalore",Both property insurance and loan protection plan mandatory,Yes - Up to 24 months for under-construction properties,No,Yes,No,No,Yes,Yes,Yes,Yes,3 working days,None,True,2025-03-03
5,Union Bank of India,Public Sector Bank,https://www.unionbankofindia.com,5,Priority Premium Home Loan,Union Bank of India's premium home loan offering with special benefits and competitive rates.,"Top-up loan, Home extension, Plot purchase plus construction, Self-construction, Purchase of resale property, Purchase of new property, Home renovation","Self-Employed Professional, Self-Employed Non-Professional",Floating,8.36,9.69,MCLR,0.69,None,Half-yearly,1000000,75000000,2,25,Percentage,0.91,5000,50000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",3000,3000,2000,2% per month on overdue amount,750,21,65,80,30000,3,3,750,45,50,"Spouse, Parents, Children, Siblings",90,75,70,"Row House, Under-construction property, Apartment",35,"Faridabad, Bangalore, Thane, Kolkata, Kochi, Chandigarh, Ahmedabad, Pune",Property insurance mandatory,Yes - Up to 24 months for under-construction properties,Yes - Up to 3 months once during loan tenure,Yes,No,No,Yes,Yes,Yes,Yes,7 working days,Doorstep service,True,2025-05-15
6,Bank of India,Public Sector Bank,https://www.bankofindia.com,6,Super Easy Home Loan,Flexible home loan option from Bank of India with attractive interest rates and minimal documentation.,"Plot purchase plus construction, Top-up loan, Home renovation, Purchase of resale property, Self-construction","Self-Employed Professional, Self-Employed Non-Professional, Agriculturist",Floating,8.56,9.29,MCLR,1.06,None,Half-yearly,500000,30000000,3,20,Percentage,0.71,2500,50000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",Actuals,3000,1500,2% per month on overdue amount,750,21,70,80,30000,2,5,725,45,55,"Spouse, Parents, Children, Siblings",90,80,75,"Row House, Under-construction property, Villa, Plot, Apartment, Ready-to-move-in property, Independent House",20,"Faridabad, Noida, Hyderabad, Navi Mumbai, Ahmedabad, Mumbai, Chandigarh, Ghaziabad, Jaipur","Property insurance mandatory, loan protection plan optional",Yes - Up to 12 months for under-construction properties,Yes - Up to 3 months once during loan tenure,Yes,Yes,Yes - Up to 40% of loan amount,Yes,No,Yes,Yes,5 working days,Doorstep service,True,2025-05-07
7,Indian Bank,Public Sector Bank,https://www.indianbank.com,7,Express Flexi Home Loan,Customized home loan package from Indian Bank catering to diverse customer needs.,"Plot purchase plus construction, Top-up loan, Home extension","Self-Employed Professional, Women borrower, Agriculturist, PIO, Government employee",Hybrid,8.64,9.42,RLLR,0.29,None,Annually,300000,50000000,3,20,FixedAmount,15000,15000,15000,Nil (as per RBI guidelines),"No restrictions on frequency, minimum amount 1 lakh",Actuals,3000,1500,3% p.a. on overdue amount,750,18,65,70,40000,1,3,675,60,65,"Spouse, Parents, Children, Siblings",85,77,72,"Plot, Apartment, Under-construction property",30,"Chennai, Pune, Kochi, Faridabad, Jaipur, Chandigarh, Thane, Ahmedabad, Coimbatore, Noida, Ghaziabad, Delhi",Property insurance mandatory,Yes - Up to 12 months for under-construction properties,Yes - Up to 6 months for specific customer segments,Yes,No,No,Yes,Yes,Yes,Yes,3 working days,None,True,2025-02-25
8,Central Bank of India,Public Sector Bank,https://www.centralbankofindia.com,8,Classic Dream Home Loan,Central Bank of India's premium home loan offering with special benefits and competitive rates.,"Balance transfer, Self-construction, Top-up loan, Home renovation, Home extension","Women borrower, Self-Employed Professional, Government employee, NRI",Hybrid,8.41,8.92,TBLR,0.9,None,Half-yearly,300000,50000000,3,25,Percentage,0.42,5000,75000,Nil (as per RBI guidelines),"Allowed twice a year, minimum amount 10% of outstanding",2500,Actuals,2000,₹500 per day of delay,1500,18,65,75,40000,2,3,750,50,50,"Spouse, Parents, Children, Siblings",90,77,70,"Plot, Apartment, Villa, Row House, Under-construction property",30,"Pune, Hyderabad, Coimbatore, Ahmedabad, Delhi, Thane, Ghaziabad, Gurgaon, Noida, Navi Mumbai, Kolkata, Faridabad, Lucknow, Kochi","Property insurance mandatory, loan protection plan optional",Yes - Up to 18 months for under-construction properties,Yes - Up to 6 months for specific customer segments,No,Yes,No,Yes,Yes,No,No,3 working days,"No foreclosure charges, Doorstep service",True,2025-05-15
9,Indian Overseas Bank,Public Sector Bank,https://www.indianoverseasbank.com,9,Elite Premium Home Loan,A comprehensive home loan solution from Indian Overseas Bank designed to fulfill your dream of owning a home.,"Purchase of resale property, Self-construction, Home extension, Plot purchase plus construction, Balance transfer, Top-up loan, Home renovation, Purchase of new property","Self-Employed Professional, NRI, Women borrower, PIO, Agriculturist",Hybrid,8.44,9.1,RLLR,0.96,0.05% for existing customers,Annually,500000,30000000,3,30,FixedAmount,20000,20000,20000,Nil (as per RBI guidelines),"Allowed after 6 months from disbursement, minimum amount 3 EMIs",3000,2500,1000,₹500 per day of delay,750,18,65,75,30000,3,3,700,50,65,"Spouse, Parents, Children, Siblings",85,77,72,"Villa, Plot, Apartment, Independent House, Under-construction property",30,"Pune, Jaipur, Chennai, Ahmedabad, Delhi, Hyderabad, Gurgaon, Mumbai, Kolkata, Kochi, Noida, Navi Mumbai, Bangalore, Lucknow, Coimbatore, Ghaziabad, Chandigarh",Property insurance mandatory,Yes - Up to 24 months for under-construction properties,Yes - Up to 6 months for specific customer segments,Yes,No,No,Yes,Yes,No,Yes,10 working days,None,True,2025-05-16
10,UCO Bank,Public Sector Bank,https://www.ucobank.com,10,Platinum Home Finance Scheme,Affordable home financing solution from UCO Bank with quick processing and approval.,"Self-construction, Home renovation, Home extension, Balance transfer, Top-up loan","Self-Employed Professional, NRI",Floating,8.35,9.53,RLLR,1.27,None,Quarterly,300000,100000000,2,25,Percentage,0.97,2500,25000,Nil (as per RBI guidelines),"Minimum 3 months between prepayments, minimum amount 2 EMIs",3000,Actuals,1500,₹500 per day of delay,1500,23,60,80,30000,3,3,725,45,55,"Spouse, Parents, Children, Siblings",85,80,72,"Row House, Under-construction property, Plot, Independent House, Villa, Ready-to-move-in property",30,"Coimbatore, Faridabad, Delhi, Kolkata, Chandigarh, Navi Mumbai, Mumbai, Ghaziabad, Kochi, Ahmedabad, Gurgaon, Chennai, Thane, Lucknow, Pune",Both property insurance and loan protection plan mandatory,Yes - Up to 12 months for under-construction properties,Yes - Up to 3 months once during loan tenure,No,No,No,Yes,Yes,No,Yes,3 working days,Special rates for high credit score customers,True,2025-02-24
